src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.113,192.46.215.141,123,123,17,2024-09-17 14:23:27,2858.0,62981.10566829951,699.7900629811057,349.89503149055287,349.89503149055287,1,1,90,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,1,1,90,90
192.168.0.113,139.59.55.93,123,123,17,2024-09-17 14:23:27,19247.0,9352.106821842364,103.91229802047071,51.95614901023536,51.95614901023536,1,1,90,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,1,1,90,90
192.168.0.113,95.216.144.226,123,123,17,2024-09-17 14:23:31,137125.0,1312.6709206927985,14.585232452142206,7.292616226071103,7.292616226071103,1,1,90,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,1,1,90,90
192.168.0.113,13.126.27.131,123,123,17,2024-09-17 14:23:32,11868.0,15166.835187057633,168.52039096730704,84.26019548365352,84.26019548365352,1,1,90,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,1,1,90,90
